,param_failure
46,1.0
328,1.0
450,1.0
452,1.0
573,1.0
587,1.0
636,1.0
803,1.0
834,1.0
857,1.0
1173,1.0
1204,1.0
1298,1.0
1301,1.0
1312,1.0
1334,1.0
1458,1.0
1475,1.0
1663,1.0
1737,
1747,1.0
1897,1.0
2081,1.0
2324,1.0
2424,1.0
2434,1.0
2482,1.0
2513,1.0
2530,1.0
2776,1.0
2873,1.0
2936,1.0
3028,1.0
3276,1.0
3294,1.0
3352,1.0
3408,1.0
3542,1.0
3866,1.0
4048,1.0
4111,1.0
4129,1.0
4397,1.0
4452,1.0
4469,1.0
4476,1.0
4485,1.0
4501,1.0
4511,1.0
4531,1.0
4532,1.0
4598,1.0
4603,1.0
4632,1.0
4734,1.0
4741,1.0
4786,1.0
4940,1.0
4987,1.0
4988,1.0
5353,1.0
5484,1.0
5555,1.0
5881,1.0
5935,1.0
5961,1.0
6047,1.0
6226,1.0
6392,1.0
6728,1.0
6779,1.0
6903,1.0
6910,1.0
6921,1.0
6939,1.0
7081,1.0
7183,1.0
7550,1.0
7631,1.0
7856,1.0
7928,1.0
7940,1.0
7969,1.0
8306,1.0
8385,1.0
8419,1.0
8577,1.0
8606,1.0
8996,
8999,1.0
9037,1.0
9059,1.0
9194,1.0
9287,1.0
9361,1.0
9814,1.0
9933,1.0
9942,1.0
10003,1.0
10115,1.0
10131,1.0
10464,1.0
10775,
10869,1.0
10883,1.0
10994,1.0
11070,1.0
11086,1.0
11094,1.0
11156,1.0
11168,1.0
11320,1.0
11336,1.0
11590,1.0
11751,1.0
11767,1.0
12172,1.0
12316,1.0
12431,1.0
12473,1.0
12514,
12648,1.0
12777,1.0
12815,1.0
12833,1.0
12893,1.0
12913,1.0
13302,1.0
13356,1.0
13465,1.0
13510,1.0
13554,1.0
13615,1.0
13757,1.0
13879,1.0
13902,1.0
14092,1.0
14115,1.0
14192,1.0
14279,1.0
14308,1.0
14371,1.0
14385,1.0
14562,1.0
14915,
14942,1.0
14976,1.0
14977,1.0
15089,1.0
15268,1.0
15571,1.0
15597,1.0
15674,1.0
15683,1.0
15903,1.0
16016,
16018,1.0
16252,1.0
16394,1.0
16472,1.0
16598,1.0
16670,1.0
16685,1.0
16700,1.0
16908,1.0
16982,1.0
17121,1.0
17279,1.0
17368,1.0
17378,1.0
17409,1.0
17487,1.0
17817,1.0
17914,1.0
17983,1.0
18014,
18046,1.0
18116,1.0
18366,1.0
18372,
18459,1.0
18542,1.0
18642,1.0
18741,1.0
19125,1.0
19380,1.0
19619,1.0
19793,
19878,1.0
20072,1.0
20078,1.0
20400,1.0
20437,1.0
20510,1.0
20854,1.0
20855,1.0
20917,1.0
21080,1.0
21116,1.0
21192,1.0
21205,1.0
21295,1.0
21422,
21477,1.0
21497,1.0
21505,1.0
21620,1.0
21720,1.0
21919,1.0
22097,1.0
22197,1.0
22228,1.0
